GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Scala InfluxDB 2.x Client [Scala 2.13],com.influxdb.client.scala,WriteScalaApi,0,32,0,0,0,6,0,16,0,16
The Scala InfluxDB 2.x Client [Scala 2.13],com.influxdb.client.scala,InfluxDBClientScalaFactory,35,0,0,0,0,0,7,0,7,0
The Scala InfluxDB 2.x Client [Scala 2.13],com.influxdb.client.scala,InfluxDBClientScalaFactory.,12,58,0,0,4,16,1,7,1,7
The Scala InfluxDB 2.x Client [Scala 2.13],com.influxdb.client.scala.internal,QueryScalaApiImpl,0,303,0,4,0,56,0,27,0,25
The Scala InfluxDB 2.x Client [Scala 2.13],com.influxdb.client.scala.internal,InfluxDBClientScalaImpl,0,77,0,0,0,14,0,11,0,11
The Scala InfluxDB 2.x Client [Scala 2.13],com.influxdb.client.scala.internal,WriteScalaApiImpl,6,476,1,1,0,34,1,55,0,55
