GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Platform Client - RxJava,org.influxdata.platform.impl,QueryClientReactiveImpl,3,231,1,1,1,49,1,17,0,17
The Platform Client - RxJava,org.influxdata.platform.impl,QueryClientReactiveImpl.new FluxCsvParser.FluxResponseConsumer() {...},3,19,1,1,1,5,1,3,0,3
The Platform Client - RxJava,org.influxdata.platform.impl,WriteClientReactiveImpl,0,246,0,0,0,65,0,16,0,16
The Platform Client - RxJava,org.influxdata.platform.impl,PlatformClientReactiveImpl,31,27,0,0,9,6,6,4,6,4
The Platform Client - RxJava,org.influxdata.platform,PlatformClientReactiveFactory,0,37,0,0,0,16,0,4,0,4
