GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HealthCheck.StatusEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HTTPNotificationRuleBase.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateKind,142,0,4,0,24,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Replications,103,0,10,0,26,0,14,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HeatmapViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MapVariableProperties,157,0,16,0,32,0,18,0,10,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DBRPUpdate,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiff,593,0,48,0,134,0,69,0,45,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BinaryExpression.BinaryExpressionLeftAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,StatusRule,195,0,16,0,44,0,25,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RangeThreshold.TypeEnum.Adapter,13,3,0,0,4,1,2,1,2,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DBRP,285,0,22,0,60,0,35,0,24,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,UsersLinks,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PasswordResetBody,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CreateDashboardRequest,155,0,14,0,35,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HistogramViewProperties,654,0,42,0,134,0,74,0,53,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,StaticLegend,291,0,22,0,63,0,37,0,26,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Dashboard,281,0,24,0,59,0,32,0,20,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffChecks,266,0,20,0,59,0,33,0,23,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HTTPNotificationRule,67,0,8,0,15,0,9,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummary,269,0,22,0,61,0,33,0,22,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MarkdownViewProperties.ShapeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Sources,144,0,14,0,34,0,19,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,View.ViewPropertiesAdapter,314,0,26,0,34,0,18,0,5,0
