GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Flux client - RxJava,org.influxdata.flux.impl,FluxClientReactiveImpl.new FluxCsvParser.FluxResponseConsumer() {...},3,19,1,1,1,5,1,3,0,3
The Flux client - RxJava,org.influxdata.flux.impl,FluxClientReactiveImpl,47,214,2,2,8,49,6,22,4,22
The Flux client - RxJava,org.influxdata.flux,FluxClientReactiveFactory,0,15,0,0,0,6,0,2,0,2
